feature,train_weighted_corr,valid_weighted_corr,single_feature_valid_r2
feature_070,-0.005644070695861421,-0.01929965668506594,0.8255294275308055
ts_ema20_feature_227,-0.007521321493588253,-0.0009280417683576879,0.8255293487547549
feature_227,-0.007380469874381262,-0.0013183397916582144,0.8255291703656585
ts_minus_ema20_feature_196,0.013745519452891746,0.015176267066901842,0.8255289598565487
ts_lag1_feature_227,-0.0073551199305788365,-0.0011799473744595731,0.8255288870227144
ts_ema5_feature_227,-0.007368622387730115,-0.0010878488292105385,0.8255288474606468
ts_minus_ema20_feature_152,0.026071445345256353,0.015179838698649823,0.8255287661815753
ts_minus_ema20_feature_298,0.020353713570866985,0.01472715631959578,0.8255279755159336
ts_lag5_feature_227,-0.00721871770215823,-0.0007412838133943118,0.8255277435074937
ts_minus_ema20_feature_110,-0.015013820789728849,-0.013705888183174114,0.8255275199426084
feature_226,0.014742507432602773,0.013100538301128211,0.825527335943512
feature_322,-0.009616859249911148,-0.018782095229294648,0.8255273124750283
feature_057,-0.011330607250404086,-0.006302459372608339,0.8255271051237443
ts_lag5_feature_141,0.01677336460432821,0.01991099157150123,0.8255265277924244
feature_307,-0.011176449724813733,-0.019403086705086798,0.8255263238117834
feature_009,-0.009457512818694265,-0.018633141378002694,0.8255262250118773
feature_148,0.011121499215567068,0.013807365969641704,0.8255260921210845
feature_272,-0.009259716265210256,-0.01859100828929174,0.8255258058179356
ts_historical_zscore20_feature_256,0.02162680911283947,0.01639602640432609,0.8255254714466911
ts_delta1_feature_218,-0.006050862470343201,-0.0178811134988499,0.825524492976808
ts_minus_ema20_feature_255,-0.012077893267647482,-0.013485577195224852,0.8255240984393931
ts_lag5_feature_066,0.01475835631074165,-0.0059922711762790725,0.825524020125508
ts_lag5_feature_059,0.014749971676450275,-0.005978308382197037,0.8255238203457437
ts_lag5_feature_064,0.014785992937104052,-0.0059443570298166005,0.8255235432630373
ts_lag5_feature_083,0.005285273799936656,-0.006430291813769746,0.8255230611464349
ts_minus_ema20_feature_154,0.013969351415256617,0.019077950793026766,0.8255216330456214
ts_rolling_std20_feature_225,0.005723683488992136,0.015380206433216526,0.8255214595286084
feature_221,-0.005068668724476138,-0.019773268430449218,0.8255210964627331
ts_minus_ema20_feature_057,-0.009178826961539852,-0.013837899472227563,0.8255205451370495
feature_075,0.003466757453963944,0.004601693416730163,0.8255201739044056
ts_minus_ema20_feature_074,0.01923467648811963,0.013344919407049275,0.8255199924317462
ts_historical_zscore20_feature_116,-0.006177931466144626,-0.015189961347383835,0.8255199737858177
feature_291,0.028472591262213538,0.03405118341737717,0.8255197818487856
ts_lag1_feature_080,-0.003697147547318731,-0.0024591591211653428,0.8255192809100105
ts_delta5_feature_229,-0.004150691132694129,-0.017885204166603184,0.8255189888823622
ts_ema5_feature_080,-0.003661963015275277,-0.002337254712950622,0.8255189454618699
ts_rolling_std20_feature_126,0.004790534241920095,0.023282969731000292,0.8255187400491438
ts_rolling_std20_feature_116,-0.003943895219571565,-0.0076228938580367505,0.825518535888407
ts_ema20_feature_080,-0.0036181998056480664,-0.0021512045022237733,0.8255185284145217
feature_003,-0.020758540370663405,-0.011765117147082177,0.8255183509309466
feature_127,0.0032737118828004732,0.023590080311229944,0.8255181207184957
feature_266,-0.020511791954902554,-0.01149464676567438,0.8255176235868407
ts_rolling_std20_feature_114,-0.0058036808135994095,0.0005025955666702321,0.8255173466250691
feature_316,-0.0208731186520431,-0.011504373823038086,0.8255169868213869
ts_xs_rank_feature_062,-0.005218834582122731,-0.008469869601182732,0.825516933057905
feature_137,-0.011315542976584594,-0.01971779497819888,0.8255167094461378
ts_historical_zscore20_feature_064,-0.021152851070426942,-0.01251385998356837,0.825515775879871
